"","Taste","Acetic","H2S","Lactic"
"1",12.3,94,23,0.86
"2",20.9,174,155,1.53
"3",39,214,230,1.57
"4",47.9,317,1801,1.81
"5",5.6,106,45,0.99
"6",25.9,298,2000,1.09
"7",37.3,362,6161,1.29
"8",21.9,436,2881,1.78
"9",18.1,134,47,1.29
"10",21,189,65,1.58
"11",34.9,311,465,1.68
"12",57.2,630,2719,1.9
"13",0.7,88,20,1.06
"14",25.9,188,140,1.3
"15",54.9,469,856,1.52
"16",40.9,581,14589,1.74
"17",15.9,120,50,1.16
"18",6.4,224,110,1.49
"19",18,190,480,1.63
"20",38.9,230,8639,1.99
"21",14,96,141,1.15
"22",15.2,200,185,1.33
"23",32,234,10322,1.44
"24",56.7,349,26876,2.01
"25",16.8,214,39,1.31
"26",11.6,421,25,1.46
"27",26.5,638,1056,1.72
"28",0.7,206,50,1.25
"29",13.4,331,800,1.08
"30",5.5,481,120,1.25
